"","Start","API","Date_num","Paddy","ACC1","Cumul_since_last","max_EI30_since_last_event","Sum_EC_since_last_event","Microplot","Ruiss","Plot","Plot2","Treatment","Replicate","Coeff","Cumul_corr","Year","Crop","bad_data","Tot_Detachment"
"203",2017-07-04,21.4342008715779,17351,26.5,27.6,25.61,350.656424102899,45.7588987468671,"OR2-H1",5.7985343444948,"OR2","OR2","H","1",NA,26.5,"17","OR","ok",NA
"204",2017-07-05,12.7384231172899,17352,20.6,25.4,15.957,296.231120555643,17.4850147890239,"OR2-H1",5.9056632929235,"OR2","OR2","H","1",NA,20.6,"17","OR","ok",NA
"213",2017-07-09,10.1395114387034,17356,5.1,6.6,5.516,4.32989849602564,9.89670820775583,"OR2-H1",0.19448210212753,"OR2","OR2","H","1",NA,5.1,"17","OR","ok",NA
"227",2017-07-10,13.1282978389839,17357,13.5,17,16.351,184.583444960256,33.802209864924,"OR2-H1",1.9380828495136,"OR2","OR2","H","1",NA,13.5,"17","OR","ok",NA
"234",2017-07-13,85.0443537940911,17360,86.2,87.2,84.513,1359.40823975028,74.8203941930453,"OR2-H1",15.426596276153,"OR2","OR2","H","1",NA,86.2,"17","OR","ok",NA
"247",2017-07-15,86.4149172154722,17362,118.8,124,69.5409999999999,454.228610682889,87.3035953513242,"OR2-H1",45.441432490152,"OR2","OR2","H","1",NA,118.8,"17","OR","ok",NA
"266",2017-07-19,66.1098089208186,17366,68.2,67,102.44,683.436049442785,152.017595397387,"OR2-H1",31.765529579607,"OR2","OR2","H","1",NA,68.2,"17","OR","ok",NA
"271",2017-07-20,44.813597723918,17367,6.2,7.8,6.501,27.5951326069947,17.5745870669652,"OR2-H1",1.0336983252458,"OR2","OR2","H","1",NA,6.2,"17","OR","ok",NA
"282",2017-07-22,44.8192903636411,17369,29.2,30.6,30.141,444.629971463633,58.4938470596163,"OR2-H1",8.8873769206194,"OR2","OR2","H","1",NA,29.2,"17","OR","ok",NA
"290",2017-07-23,40.7899931950385,17370,8.9,15.2,17.533,260.886430949973,34.647502927763,"OR2-H1",1.9380828495136,"OR2","OR2","H","1",NA,8.9,"17","OR","ok",NA
"296",2017-07-25,38.9041405710684,17372,26.1,29.8,23.64,444.629971463633,43.0167023029144,"OR2-H1",12.140543106701,"OR2","OR2","H","1",NA,26.1,"17","OR","ok",NA
"298",2017-07-28,8.97828476792272,17375,58.9,31.8,39.597,1257.20693273136,25.020734788883,"OR2-H1",43.222428741022,"OR2","OR2","H","1",NA,58.9,"17","OR","ok",NA
"302",2017-08-01,21.9266455117393,17379,18.9,25.1,20.488,683.436049442785,37.7153309434196,"OR2-H1",6.3398231115328,"OR2","OR2","H","1",NA,18.9,"17","OR","ok",NA
"322",2017-08-08,44.8159043312718,17386,79.4,77.3,67.5709999999999,735.135427977163,67.5311061482952,"OR2-H1",29.210413334009,"OR2","OR2","H","1",NA,79.4,"17","OR","ok",NA
"329",2017-08-11,43.9528737647205,17389,35.6,38,37.627,463.861339847905,47.3868976532571,"OR2-H1",16.001669164635,"OR2","OR2","H","1",NA,35.6,"17","OR","ok",NA
"340",2017-08-15,29.525599133259,17393,31.3,42.5,28.368,552.003308180658,25.2361977865694,"OR2-H1",11.744270126992,"OR2","OR2","H","1",NA,31.3,"17","OR","ok",NA
"345",2017-08-16,73.3199464463213,17394,62.5,66.6,55.3570000000002,872.197717949818,36.9875754756103,"OR2-H1",29.522739880556,"OR2","OR2","H","1",NA,62.5,"17","OR","ok",NA
"352",2017-08-20,29.3574556459633,17398,33.8,22.7,35.657,1100.68151191264,55.92439779519,"OR2-H1",18.8977343442,"OR2","OR2","H","1",NA,33.8,"17","OR","ok",NA
"358",2017-08-22,20.4431124667058,17400,7.4,7.5,10.835,45.1079820778386,20.7211119368258,"OR2-H1",1.7633542285605,"OR2","OR2","H","1",NA,7.4,"17","OR","ok",NA
"367",2017-08-25,31.7762097356974,17403,60.8,66.4,40.385,1122.84942302216,29.2163472528359,"OR2-H1",35.701201835712,"OR2","OR2","H","1",NA,60.8,"17","OR","ok",NA
"381",2017-08-28,25.1802529157693,17406,35.1,37.6,39.203,542.086923959632,69.9104638959147,"OR2-H1",20.747757118881,"OR2","OR2","H","1",NA,35.1,"17","OR","ok",NA
"393",2017-09-01,25.9725976385053,17410,31,38.5,73.2839999999999,915.081316833394,92.0952564020827,"OR2-H1",16.385854246258,"OR2","OR2","H","1",NA,31,"17","OR","ok",NA
"400",2017-09-04,12.4080168385207,17413,10.2,9.7,3.94,12.4404609585798,7.87333267896217,"OR2-H1",2.9250934193826,"OR2","OR2","H","1",NA,10.2,"17","OR","ok",NA
"407",2017-09-07,22.8548536879858,17416,34.6,29.8,26.201,652.709886069947,36.788995302282,"OR2-H1",19.772673168679,"OR2","OR2","H","1",NA,34.6,"17","OR","ok",NA
"417",2017-09-12,11.5727815042701,17421,46.7,47.6,42.552,581.926143560739,64.1797096639324,"OR2-H1",38.814147299535,"OR2","OR2","H","1",NA,46.7,"17","OR","ok",NA
"420",2017-09-14,10.9564022677988,17423,11,5,7.683,209.474746943865,21.2675528786657,"OR2-H1",4.757899983123,"OR2","OR2","H","1",NA,11,"17","OR","ok",NA
