Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2018-01	21/01/18	OR2	H	2	OR2-H2	(21-01-18)	11.812	
2018-01	21/01/18	OR2	H	3	OR2-H3	(21-01-18)	4.775	
2018-01	21/01/18	OR2	NH	1	OR2-NH1	(21-01-18)	57.852	
2018-01	21/01/18	OR2	NH	2	OR2-NH2	(21-01-18)	56.375	
2018-01	21/01/18	OR2	NH	3	OR2-NH3	(21-01-18)	39.011	
2018-01	27/01/18	OR2	H	3	OR2-H3	(27-01-18)	3.673	
2018-01	27/01/18	OR2	H	1	OR2-H1	(27-01-18)	12.113	
2018-01	27/01/18	OR2	H	2	OR2-H2	(27-01-18)	9.036	
2018-01	27/01/18	OR2	NH	1	OR2-NH1	(27-01-18)	51.361	
2018-01	27/01/18	OR2	NH	2	OR2-NH2	(27-01-18)	54.746	
2018-01	27/01/18	OR2	NH	3	OR2-NH3	(27-01-18)	36.350	
2018-02	05/02/18	OR2	H	1	OR2-H1	(05-02-18)	13.295	
2018-02	05/02/18	OR2	H	2	OR2-H2	(05-02-18)	10.724	
2018-02	05/02/18	OR2	H	3	OR2-H3	(05-02-18)	4.382	
2018-02	05/02/18	OR2	NH	1	OR2-NH1	(05-02-18)	56.327	
2018-02	05/02/18	OR2	NH	2	OR2-NH2	(05-02-18)	60.751	
2018-02	05/02/18	OR2	NH	3	OR2-NH3	(05-02-18)	44.709	
2018-02	10/02/18	OR2	H	1	OR2-H1	(10-02-18)	12.820	
2018-02	10/02/18	OR2	H	2	OR2-H2	(10-02-18)	9.951	
2018-02	10/02/18	OR2	H	3	OR2-H3	(10-02-18)	5.903	
2018-02	10/02/18	OR2	NH	1	OR2-NH1	(10-02-18)	58.011	
2018-02	10/02/18	OR2	NH	2	OR2-NH2	(10-02-18)	58.736	
2018-02	10/02/18	OR2	NH	3	OR2-NH3	(10-02-18)	44.424	
2018-02	17/02/18	OR2	H	1	OR2-H1	(17-02-18)	12.878	
2018-02	17/02/18	OR2	H	2	OR2-H2	(17-02-18)	10.012	
2018-02	17/02/18	OR2	H	3	OR2-H3	(17-02-18)	4.326	
2018-02	17/02/18	OR2	NH	1	OR2-NH1	(17-02-18)	48.782	
2018-02	17/02/18	OR2	NH	2	OR2-NH2	(17-02-18)	58.014	
2018-02	17/02/18	OR2	NH	3	OR2-NH3	(17-02-18)	40.888	
2018-02	23/02/18	OR2	H	1	OR2-H1	(23-02-18)	13.162	
2018-02	23/02/18	OR2	H	2	OR2-H2	(23-02-18)	9.296	
2018-02	23/02/18	OR2	H	3	OR2-H3	(23-02-18)	4.785	
2018-02	23/02/18	OR2	NH	1	OR2-NH1	(23-02-18)	40.641	
2018-02	23/02/18	OR2	NH	2	OR2-NH2	(23-02-18)	56.648	
2018-02	23/02/18	OR2	NH	3	OR2-NH3	(23-02-18)	38.276	
2018-03	03/03/18	OR2	H	1	OR2-H1	(03-03-18)	13.198	
2018-03	03/03/18	OR2	H	2	OR2-H2	(03-03-18)	10.357	
2018-03	03/03/18	OR2	H	3	OR2-H3	(03-03-18)	5.632	
2018-03	03/03/18	OR2	NH	1	OR2-NH1	(03-03-18)	39.575	
2018-03	03/03/18	OR2	NH	2	OR2-NH2	(03-03-18)	56.972	
2018-03	03/03/18	OR2	NH	3	OR2-NH3	(03-03-18)	33.888	
2018-03	10/03/18	OR2	H	1	OR2-H1	(10-03-18)	13.255	
2018-03	10/03/18	OR2	H	2	OR2-H2	(10-03-18)	13.313	
2018-03	10/03/18	OR2	H	3	OR2-H3	(10-03-18)	6.783	
2018-03	10/03/18	OR2	NH	1	OR2-NH1	(10-03-18)	45.795	
2018-03	10/03/18	OR2	NH	2	OR2-NH2	(10-03-18)	57.705	
2018-03	10/03/18	OR2	NH	3	OR2-NH3	(10-03-18)	37.746	
2018-03	15/03/18	OR2	H	1	OR2-H1	(15-03-18)	13.368	
2018-03	15/03/18	OR2	H	2	OR2-H2	(15-03-18)	17.009	
2018-03	15/03/18	OR2	H	3	OR2-H3	(15-03-18)	8.274	
2018-03	15/03/18	OR2	NH	1	OR2-NH1	(15-03-18)	49.753	
2018-03	15/03/18	OR2	NH	2	OR2-NH2	(15-03-18)	58.609	
2018-03	15/03/18	OR2	NH	3	OR2-NH3	(15-03-18)	40.303	
2018-03	24/03/18	OR2	H	1	OR2-H1	(24-03-18)	16.922	
2018-03	24/03/18	OR2	H	2	OR2-H2	(24-03-18)	18.243	
2018-03	24/03/18	OR2	H	3	OR2-H3	(24-03-18)	10.242	
2018-03	24/03/18	OR2	NH	1	OR2-NH1	(24-03-18)	59.186	
2018-03	24/03/18	OR2	NH	2	OR2-NH2	(24-03-18)	58.095	
2018-03	24/03/18	OR2	NH	3	OR2-NH3	(24-03-18)	44.550	
2018-04	07/04/18	OR2	H	1	OR2-H1	(07-04-18)	24.476	
2018-04	07/04/18	OR2	H	2	OR2-H2	(07-04-18)	20.466	
2018-04	07/04/18	OR2	H	3	OR2-H3	(07-04-18)	15.499	
2018-04	07/04/18	OR2	NH	1	OR2-NH1	(07-04-18)	46.028	
2018-04	07/04/18	OR2	NH	2	OR2-NH2	(07-04-18)	69.712	
2018-04	07/04/18	OR2	NH	3	OR2-NH3	(07-04-18)	43.357	
2018-04	16/04/18	OR2	H	1	OR2-H1	(16-04-18)	26.761	
2018-04	16/04/18	OR2	H	2	OR2-H2	(16-04-18)	26.787	
2018-04	16/04/18	OR2	H	3	OR2-H3	(16-04-18)	19.155	
2018-04	16/04/18	OR2	NH	1	OR2-NH1	(16-04-18)	48.160	
2018-04	16/04/18	OR2	NH	2	OR2-NH2	(16-04-18)	58.989	
2018-04	16/04/18	OR2	NH	3	OR2-NH3	(16-04-18)	39.168	
2018-04	20/04/18	OR2	H	1	OR2-H1	(20-04-18)	29.823	
2018-04	20/04/18	OR2	H	2	OR2-H2	(20-04-18)	29.022	
2018-04	20/04/18	OR2	H	3	OR2-H3	(20-04-18)	24.534	
2018-04	28/04/18	OR2	H	1	OR2-H1	(28-04-18)	30.132	
2018-04	28/04/18	OR2	H	2	OR2-H2	(28-04-18)	30.622	
2018-04	28/04/18	OR2	H	3	OR2-H3	(28-04-18)	30.070	
2018-04	28/04/18	OR2	NH	1	OR2-NH1	(28-04-18)	44.491	
2018-04	28/04/18	OR2	NH	2	OR2-NH2	(28-04-18)	47.217	
2018-04	28/04/18	OR2	NH	3	OR2-NH3	(28-04-18)	27.163	W
2018-05	20/05/18	OR2	H	1	OR2-H1	(20-05-18)	39.258	
2018-05	20/05/18	OR2	H	2	OR2-H2	(20-05-18)	55.629	
2018-05	20/05/18	OR2	H	3	OR2-H3	(20-05-18)	52.205	
2018-05	20/05/18	OR2	NH	1	OR2-NH1	(20-05-18)	63.614	
2018-05	20/05/18	OR2	NH	2	OR2-NH2	(20-05-18)	53.429	
2018-05	20/05/18	OR2	NH	3	OR2-NH3	(20-05-18)	46.460	
2018-05	28/05/18	OR2	H	1	OR2-H1	(28-05-18)	44.763	
2018-05	28/05/18	OR2	H	2	OR2-H2	(28-05-18)	59.145	
2018-05	28/05/18	OR2	H	3	OR2-H3	(28-05-18)	57.475	
2018-05	28/05/18	OR2	NH	1	OR2-NH1	(28-05-18)	71.688	
2018-05	28/05/18	OR2	NH	2	OR2-NH2	(28-05-18)	64.697	
2018-05	28/05/18	OR2	NH	3	OR2-NH3	(28-05-18)	46.775	
2018-06	03/06/18	OR2	H	1	OR2-H1	(3-06-18)	1.809	
2018-06	03/06/18	OR2	H	2	OR2-H2	(3-06-18)	2.437	
2018-06	03/06/18	OR2	H	3	OR2-H3	(3-06-18)	1.357	
2018-06	03/06/18	OR2	NH	1	OR2-NH1	(3-06-18)	71.793	
2018-06	03/06/18	OR2	NH	2	OR2-NH2	(3-06-18)	67.920	
2018-06	03/06/18	OR2	NH	3	OR2-NH3	(3-06-18)	50.669	
2018-06	10/06/18	OR2	H	1	OR2-H1	(10-06-18)	0.020	
2018-06	10/06/18	OR2	H	2	OR2-H2	(10-06-18)	0.127	
2018-06	10/06/18	OR2	H	3	OR2-H3	(10-06-18)	0.090	
2018-06	10/06/18	OR2	NH 	1	OR2-NH 1	(10-06-18)	74.491	
2018-06	10/06/18	OR2	NH 	2	OR2-NH 2	(10-06-18)	62.669	
2018-06	10/06/18	OR2	NH 	3	OR2-NH 3	(10-06-18)	54.971	
2018-06	17/06/18	OR2	H	1	OR2-H1	(17-06-18)	0.093	
2018-06	17/06/18	OR2	H	2	OR2-H2	(17-06-18)	0.123	
2018-06	17/06/18	OR2	H	3	OR2-H3	(17-06-18)	0.026	
2018-06	17/06/18	OR2	NH	1	OR2-NH1	(17-06-18)	73.418	
2018-06	17/06/18	OR2	NH	2	OR2-NH2	(17-06-18)	62.482	
2018-06	17/06/18	OR2	NH	3	OR2-NH3	(17-06-18)	57.468	
2018-06	22/06/18	OR2	H	1	OR2-H1	(22-06-18)	0.024	
2018-06	22/06/18	OR2	H	2	OR2-H2	(22-06-18)	0.135	
2018-06	22/06/18	OR2	H	3	OR2-H3	(22-06-18)	0.164	
2018-06	22/06/18	OR2	NH	1	OR2-NH1	(22-06-18)	73.024	
2018-06	22/06/18	OR2	NH	2	OR2-NH2	(22-06-18)	64.728	
2018-06	22/06/18	OR2	NH	3	OR2-NH3	(22-06-18)	57.527	
2018-07	01/07/18	OR2	H	1	OR2-H1	(01-07-18)	0.024	
2018-07	01/07/18	OR2	H	2	OR2-H2	(01-07-18)	0.100	
2018-07	01/07/18	OR2	H	3	OR2-H3	(01-07-18)	0.138	
2018-07	01/07/18	OR2	NH	1	OR2-NH1	(01-07-18)	75.582	
2018-07	01/07/18	OR2	NH	2	OR2-NH2	(01-07-18)	67.712	
2018-07	01/07/18	OR2	NH	3	OR2-NH3	(01-07-18)	58.882	
2018-07	08/07/18	OR2	H	1	OR2-H1	(08-07-18)	0.129	
2018-07	08/07/18	OR2	H	2	OR2-H2	(08-07-18)	0.147	
2018-07	08/07/18	OR2	H	3	OR2-H3	(08-07-18)	0.201	
2018-07	08/07/18	OR2	NH	1	OR2-NH1	(08-07-18)	75.420	
2018-07	08/07/18	OR2	NH	2	OR2-NH2	(08-07-18)	71.486	
2018-07	08/07/18	OR2	NH	3	OR2-NH3	(08-07-18)	55.735	
2018-07	14/07/18	OR2	H	1	OR2-H1	(14-07-18)	0.418	
2018-07	14/07/18	OR2	H	2	OR2-H2	(14-07-18)	0.368	
2018-07	14/07/18	OR2	H	3	OR2-H3	(14-07-18)	0.200	
2018-07	14/07/18	OR2	NH	1	OR2-NH1	(14-07-18)	65.744	
2018-07	14/07/18	OR2	NH	2	OR2-NH2	(14-07-18)	66.814	
2018-07	14/07/18	OR2	NH	3	OR2-NH3	(14-07-18)	57.240	
2018-07	21/07/18	OR2	H	1	OR2-H1	(21-07-18)	0.217	
2018-07	21/07/18	OR2	H	2	OR2-H2	(21-07-18)	0.672	
2018-07	21/07/18	OR2	H	3	OR2-H3	(21-07-18)	2.005	
2018-07	21/07/18	OR2	NH	1	OR2-NH1	(21-07-18)	78.139	
2018-07	21/07/18	OR2	NH	2	OR2-NH2	(21-07-18)	71.300	
2018-07	21/07/18	OR2	NH	3	OR2-NH3	(21-07-18)	62.912	
2018-07	28/07/18	OR2	H	1	OR2-H1	(28-07-18)	0.290	
2018-07	28/07/18	OR2	H	2	OR2-H2	(28-07-18)	0.549	
2018-07	28/07/18	OR2	H	3	OR2-H3	(28-07-18)	2.256	
2018-07	28/07/18	OR2	NH	1	OR2-NH1	(28-07-18)	83.300	
2018-07	28/07/18	OR2	NH	2	OR2-NH2	(28-07-18)	74.985	
2018-07	28/07/18	OR2	NH	3	OR2-NH3	(28-07-18)	66.257	
2018-08	05/08/18	OR2	H	1	OR2-H1	(05-08-18)	0.073	
2018-08	05/08/18	OR2	H	2	OR2-H2	(05-08-18)	0.458	
2018-08	05/08/18	OR2	H	3	OR2-H3	(05-08-18)	1.954	
2018-08	05/08/18	OR2	NH	1	OR2-NH1	(05-08-18)	72.702	
2018-08	05/08/18	OR2	NH	2	OR2-NH2	(05-08-18)	73.096	
2018-08	05/08/18	OR2	NH	3	OR2-NH3	(05-08-18)	60.255	
2018-08	10/08/18	OR2	H	1	OR2-H1	(10-08-18)	0.181	
2018-08	10/08/18	OR2	H	2	OR2-H2	(10-08-18)	0.854	
2018-08	10/08/18	OR2	H	3	OR2-H3	(10-08-18)	2.415	
2018-08	10/08/18	OR2	NH	1	OR2-NH1	(10-08-18)	72.598	
2018-08	10/08/18	OR2	NH	2	OR2-NH2	(10-08-18)	68.831	
2018-08	10/08/18	OR2	NH	3	OR2-NH3	(10-08-18)	66.850	
2018-08	17/08/18	OR2	H	1	OR2-H1	(17-08-18)	0.341	
2018-08	17/08/18	OR2	H	2	OR2-H2	(17-08-18)	0.990	
2018-08	17/08/18	OR2	H	3	OR2-H3	(17-08-18)	2.674	
2018-08	17/08/18	OR2	NH	1	OR2-NH1	(17-08-18)	68.182	
2018-08	17/08/18	OR2	NH	2	OR2-NH2	(17-08-18)	61.706	
2018-08	17/08/18	OR2	NH	3	OR2-NH3	(17-08-18)	68.401	
2018-08	24/08/18	OR2	H	1	OR2-H1	(24-08-18)	0.373	
2018-08	24/08/18	OR2	H	2	OR2-H2	(24-08-18)	1.167	
2018-08	24/08/18	OR2	H	3	OR2-H3	(24-08-18)	2.783	
2018-08	24/08/18	OR2	NH	1	OR2-NH1	(24-08-18)	67.577	
2018-08	24/08/18	OR2	NH	2	OR2-NH2	(24-08-18)	66.477	
2018-08	24/08/18	OR2	NH	3	OR2-NH3	(24-08-18)	71.426	
2018-09	01/09/18	OR2	H	1	OR2-H1	(01-09-18)	0.374	
2018-09	01/09/18	OR2	H	2	OR2-H2	(01-09-18)	1.506	
2018-09	01/09/18	OR2	H	3	OR2-H3	(01-09-18)	3.887	
2018-09	01/09/18	OR2	NH	1	OR2-NH1	(01-09-18)	65.727	
2018-09	01/09/18	OR2	NH	2	OR2-NH2	(01-09-18)	67.873	
2018-09	01/09/18	OR2	NH	3	OR2-NH3	(01-09-18)	69.475	
2018-09	10/09/18	OR2	H	1	OR2-H1	(10-09-18)	0.390	
2018-09	10/09/18	OR2	H	2	OR2-H2	(10-09-18)	2.738	
2018-09	10/09/18	OR2	H	3	OR2-H3	(10-09-18)	3.511	
2018-09	10/09/18	OR2	NH	1	OR2-NH1	(10-09-18)	64.581	
2018-09	10/09/18	OR2	NH	2	OR2-NH2	(10-09-18)	64.938	
2018-09	10/09/18	OR2	NH	3	OR2-NH3	(10-09-18)	66.786	
2018-09	16/09/18	OR2	H	1	OR2-H1	(16-09-18)	1.308	
2018-09	16/09/18	OR2	H	2	OR2-H2	(16-09-18)	4.000	
2018-09	16/09/18	OR2	H	3	OR2-H3	(16-09-18)	4.155	
2018-09	16/09/18	OR2	NH	1	OR2-NH1	(16-09-18)	66.945	
2018-09	16/09/18	OR2	NH	2	OR2-NH2	(16-09-18)	71.693	
2018-09	16/09/18	OR2	NH	3	OR2-NH3	(16-09-18)	71.979	
2018-09	22/09/18	OR2	H	1	OR2-H1	(22-09-18)	0.613	
2018-09	22/09/18	OR2	H	2	OR2-H2	(22-09-18)	3.485	
2018-09	22/09/18	OR2	H	3	OR2-H3	(22-09-18)	3.922	
2018-09	22/09/18	OR2	NH	1	OR2-NH1	(22-09-18)	64.747	
2018-09	22/09/18	OR2	NH	2	OR2-NH2	(22-09-18)	67.852	
2018-09	22/09/18	OR2	NH	3	OR2-NH3	(22-09-18)	65.321	
2018-09	29/09/18	OR2	H	1	OR2-H1	(29-9-18)	0.193	
2018-09	29/09/18	OR2	H	2	OR2-H2	(29-9-18)	0.323	
2018-09	29/09/18	OR2	H	3	OR2-H3	(29-9-18)	0.506	
2018-09	29/09/18	OR2	NH	1	OR2-NH1	(29-9-18)	65.298	
2018-09	29/09/18	OR2	NH	2	OR2-NH2	(29-9-18)	71.671	
2018-09	29/09/18	OR2	NH	3	OR2-NH3	(29-9-18)	63.529	
2018-10	05/10/18	OR2	H	1	OR2-H1	(5-10-2018)	0.351	
2018-10	05/10/18	OR2	H	2	OR2-H2	(5-10-2018)	0.191	
2018-10	05/10/18	OR2	H	3	OR2-H3	(5-10-2018)	0.089	
2018-10	05/10/18	OR2	NH	1	OR2-NH1	(5-10-2018)	63.441	
2018-10	05/10/18	OR2	NH	2	OR2-NH2	(5-10-2018)	74.673	
2018-10	05/10/18	OR2	NH	3	OR2-NH3	(5-10-2018)	63.511	
2018-10	18/10/18	OR2	H	1	OR2-H1	(28-10-18)	0.483	
2018-10	18/10/18	OR2	H	2	OR2-H2	(28-10-18)	0.361	
2018-10	18/10/18	OR2	H	3	OR2-H3	(28-10-18)	0.452	
2018-10	18/10/18	OR2	NH	1	OR2-NH1	(28-10-18)	60.298	
2018-10	18/10/18	OR2	NH	2	OR2-NH2	(28-10-18)	60.993	
2018-10	18/10/18	OR2	NH	3	OR2-NH3	(28-10-18)	63.502	
2018-10	28/10/18	OR2	H	1	OR2-H1	(28-10-18)	0.634	
2018-10	28/10/18	OR2	H	2	OR2-H2	(28-10-18)	0.297	
2018-10	28/10/18	OR2	H	3	OR2-H3	(28-10-18)	0.387	
2018-10	28/10/18	OR2	NH	1	OR2-NH1	(28-10-18)	60.557	
2018-10	28/10/18	OR2	NH	2	OR2-NH2	(28-10-18)	60.787	
2018-10	28/10/18	OR2	NH	3	OR2-NH3	(28-10-18)	63.296	
2018-11	03/11/18	OR2	H	1	OR2-H1	(03-11-18)	0.544	
2018-11	03/11/18	OR2	H	2	OR2-H2	(03-11-18)	0.154	
2018-11	03/11/18	OR2	H	3	OR2-H3	(03-11-18)	0.782	
2018-11	03/11/18	OR2	NH	1	OR2-NH1	(03-11-18)	53.543	
2018-11	03/11/18	OR2	NH	2	OR2-NH2	(03-11-18)	53.522	
2018-11	03/11/18	OR2	NH	3	OR2-NH3	(03-11-18)	49.748	
2018-11	12/11/18	OR2	H	1	OR2-H1	(12-11-18)	0.224	
2018-11	12/11/18	OR2	H	2	OR2-H2	(12-11-18)	0.144	
2018-11	12/11/18	OR2	H	3	OR2-H3	(12-11-18)	0.282	
2018-11	12/11/18	OR2	NH	1	OR2-NH1	(12-11-18)	48.979	
2018-11	12/11/18	OR2	NH	2	OR2-NH2	(12-11-18)	57.071	
2018-11	12/11/18	OR2	NH	3	OR2-NH3	(12-11-18)	53.420	
2018-11	18/11/18	OR2	H	1	OR2-H1	(18-11-18)	0.814	
2018-11	18/11/18	OR2	H	2	OR2-H2	(18-11-18)	1.303	
2018-11	18/11/18	OR2	H	3	OR2-H3	(18-11-18)	0.472	
2018-11	18/11/18	OR2	NH	1	OR2-NH1	(18-11-18)	50.168	
2018-11	18/11/18	OR2	NH	2	OR2-NH2	(18-11-18)	62.195	
2018-11	18/11/18	OR2	NH	3	OR2-NH3	(18-11-18)	59.937	
2018-11	23/11/18	OR2	H	1	OR2-H1	(23-11-18)	0.602	
2018-11	23/11/18	OR2	H	2	OR2-H2	(23-11-18)	0.295	
2018-11	23/11/18	OR2	H	3	OR2-H3	(23-11-18)	0.450	
2018-11	23/11/18	OR2	NH	1	OR2-NH1	(23-11-18)	51.465	
2018-11	23/11/18	OR2	NH	2	OR2-NH2	(23-11-18)	59.186	
2018-11	23/11/18	OR2	NH	3	OR2-NH3	(23-11-18)	56.582	
2018-12	02/12/18	OR2	H	1	OR2-H1	(02-12-18)	0.852	
2018-12	02/12/18	OR2	H	2	OR2-H2	(02-12-18)	0.589	
2018-12	02/12/18	OR2	H	3	OR2-H3	(02-12-18)	0.649	
2018-12	02/12/18	OR2	NH	1	OR2-NH1	(02-12-18)	51.725	
2018-12	02/12/18	OR2	NH	2	OR2-NH2	(02-12-18)	66.358	
2018-12	02/12/18	OR2	NH	3	OR2-NH3	(02-12-18)	56.903	
2018-12	08/12/18	OR2	H	1	OR2-H1	(08-12-12)	0.545	
2018-12	08/12/18	OR2	H	2	OR2-H2	(08-12-12)	0.157	
2018-12	08/12/18	OR2	H	3	OR2-H3	(08-12-12)	0.504	
2018-12	08/12/18	OR2	NH	1	OR2-NH1	(08-12-18)	46.280	
2018-12	08/12/18	OR2	NH	2	OR2-NH2	(08-12-18)	61.746	
2018-12	08/12/18	OR2	NH	3	OR2-NH3	(08-12-18)	50.425	
2018-12	22/12/18	OR2	H	1	OR2-H1	(22-12-18)	1.463	
2018-12	22/12/18	OR2	H	2	OR2-H2	(22-12-18)	1.928	
2018-12	22/12/18	OR2	H	3	OR2-H3	(22-12-18)	1.538	
2018-12	22/12/18	OR2	NH	1	OR2-NH1	(22-12-18)	46.039	
2018-12	22/12/18	OR2	NH	2	OR2-NH2	(22-12-18)	43.077	
2018-12	22/12/18	OR2	NH	3	OR2-NH3	(22-12-18)	41.750	
2018-12	02/01/19	OR2	H	1	OR2-H1	(2-1-19)	1.579	
2018-12	02/01/19	OR2	H	2	OR2-H2	(2-1-19)	1.447	
2018-12	02/01/19	OR2	H	3	OR2-H3	(2-1-19)	0.801	
2018-12	02/01/19	OR2	NH	1	OR2-NH1	(2-1-19)	52.232	
2018-12	02/01/19	OR2	NH	2	OR2-NH2	(2-1-19)	44.272	
2017-01	07/01/17	OR4	NH	1	OR4-NH1	(7-01-17)	1.222	
2017-01	07/01/17	OR4	NH	2	OR4-NH2	(7-01-17)	0.840	
2017-01	07/01/17	OR4	NH	3	OR4-NH3	(7-01-17)	0.899	
2017-01	14/01/17	OR4	NH	1	OR4-NH1	(14-01-17)	2.088	
2017-01	14/01/17	OR4	NH	2	OR4-NH2	(14-01-17)	1.694	
2017-01	14/01/17	OR4	NH	3	OR4-NH3	(14-01-17)	1.682	
2017-01	21/01/17	OR4	NH	1	OR4-NH1	(21-01-17)	1.454	
2017-01	21/01/17	OR4	NH	2	OR4-NH2	(21-01-17)	1.933	
2017-01	21/01/17	OR4	NH	3	OR4-NH3	(21-01-17)	1.003	
2017-01	28/01/17	OR4	NH	1	OR4-NH1	(28-01-17)	1.551	
2017-01	28/01/17	OR4	NH	2	OR4-NH2	(28-01-17)	1.109	
2017-01	28/01/17	OR4	NH	3	OR4-NH3	(28-01-17)	1.505	
2017-02	04/02/17	OR4	NH	1	OR4-NH1	(4-02-17)	0.797	
2017-02	04/02/17	OR4	NH	2	OR4-NH2	(4-02-17)	1.079	
2017-02	04/02/17	OR4	NH	3	OR4-NH3	(4-02-17)	0.833	
2017-02	12/02/17	OR4	NH	1	OR4-NH1	(12-02-17)	0.758	
2017-02	12/02/17	OR4	NH	2	OR4-NH2	(12-02-17)	0.973	
2017-02	12/02/17	OR4	NH	3	OR4-NH3	(12-02-17)	1.051	
2017-02	19/02/17	OR4	NH	1	OR4-NH1	(19-02-17)	1.127	
2017-02	19/02/17	OR4	NH	2	OR4-NH2	(19-02-17)	0.810	
2017-02	19/02/17	OR4	NH	3	OR4-NH3	(19-02-17)	0.717	
2017-02	25/02/17	OR4	NH	1	OR4-NH1	(25-02-17)	1.120	
2017-02	25/02/17	OR4	NH	2	OR4-NH2	(25-02-17)	0.881	
2017-02	25/02/17	OR4	NH	3	OR4-NH3	(25-02-17)	0.694	
2017-03	05/03/17	OR4	NH	1	OR4-NH1	(5-03-17)	1.035	
2017-03	05/03/17	OR4	NH	2	OR4-NH2	(5-03-17)	0.892	
2017-03	05/03/17	OR4	NH	3	OR4-NH3	(5-03-17)	0.702	
2017-03	13/03/17	OR4	NH	1	OR4-NH1	(11-03-17)	1.100	
2017-03	13/03/17	OR4	NH	2	OR4-NH2	(11-03-17)	0.971	
2017-03	13/03/17	OR4	NH	3	OR4-NH3	(11-03-17)	0.971	
2017-03	27/03/17	OR4	H	1	OR4-H1	(27-03-17)	1.391	
2017-03	27/03/17	OR4	H	2	OR4-H2	(27-03-17)	0.421	
2017-03	27/03/17	OR4	H	3	OR4-H3	(27-03-17)	0.319	
2017-03	27/03/17	OR4	NH	1	OR4-NH1	(27-03-17)	1.556	
2017-03	27/03/17	OR4	NH	2	OR4-NH2	(27-03-17)	0.889	
2017-03	27/03/17	OR4	NH	3	OR4-NH3	(27-03-17)	1.689	
2017-03	31/03/17	OR4	H	1	OR4-H1	(31-03-17)	1.600	
2017-03	31/03/17	OR4	H	2	OR4-H2	(31-03-17)	0.309	
2017-03	31/03/17	OR4	H	3	OR4-H3	(31-03-17)	0.208	
2017-03	31/03/17	OR4	NH	1	OR4-NH1	(31-03-17)	1.405	
2017-03	31/03/17	OR4	NH	2	OR4-NH2	(31-03-17)	1.183	
2017-03	31/03/17	OR4	NH	3	OR4-NH3	(31-03-17)	0.957	
2017-04	09/04/17	OR4	H	1	OR4-H1	(9-04-17)	4.237	
2017-04	09/04/17	OR4	H	2	OR4-H2	(9-04-17)	0.309	
2017-04	09/04/17	OR4	H	3	OR4-H3	(9-04-17)	2.148	
2017-04	09/04/17	OR4	NH	1	OR4-NH1	(9-04-17)	1.565	
2017-04	09/04/17	OR4	NH	2	OR4-NH2	(9-04-17)	2.570	
2017-04	09/04/17	OR4	NH	3	OR4-NH3	(9-04-17)	2.260	
2017-04	16/04/17	OR4	H	1	OR4-H1	(16-04-17)	5.204	
2017-04	16/04/17	OR4	H	2	OR4-H2	(16-04-17)	0.565	
2017-04	16/04/17	OR4	H	3	OR4-H3	(16-04-17)	1.679	
2017-04	16/04/17	OR4	NH	1	OR4-NH1	(16-04-17)	1.656	
2017-04	16/04/17	OR4	NH	2	OR4-NH2	(16-04-17)	3.827	
2017-04	16/04/17	OR4	NH	3	OR4-NH3	(16-04-17)	3.204	
2017-04	18/04/17	OR4	H	1	OR4-H1	(18-04-17)	5.239	
2017-04	18/04/17	OR4	H	2	OR4-H2	(18-04-17)	0.616	
2017-04	18/04/17	OR4	H	3	OR4-H3	(18-04-17)	1.986	
2017-04	18/04/17	OR4	NH	1	OR4-NH1	(18-04-17)	4.225	
2017-04	18/04/17	OR4	NH	2	OR4-NH2	(18-04-17)	5.706	
2017-04	18/04/17	OR4	NH	3	OR4-NH3	(18-04-17)	5.540	
2017-04	23/04/17	OR4	H	1	OR4-H1	(23-04-17)	5.644	
2017-04	23/04/17	OR4	H	2	OR4-H2	(23-04-17)	0.571	
2017-04	23/04/17	OR4	H	3	OR4-H3	(23-04-17)	1.770	
2017-04	23/04/17	OR4	NH	1	OR4-NH1	(23-04-17)	2.225	
2017-04	23/04/17	OR4	NH	2	OR4-NH2	(23-04-17)	4.748	
2017-04	23/04/17	OR4	NH	3	OR4-NH3	(23-04-17)	7.512	
2017-04	29/04/17	OR4	H	1	OR4-H1	(29-04-17)	6.939	
2017-04	29/04/17	OR4	H	2	OR4-H2	(29-04-17)	0.754	
2017-04	29/04/17	OR4	H	3	OR4-H3	(29-04-17)	1.748	
2017-04	29/04/17	OR4	NH	1	OR4-NH1	(29-04-17)	3.511	
2017-04	29/04/17	OR4	NH	2	OR4-NH2	(29-04-17)	6.366	
2017-04	29/04/17	OR4	NH	3	OR4-NH3	(29-04-17)	6.642	
2017-05	06/05/17	OR4	H	1	OR4-H1	(6-05-17)	10.000	
2017-05	06/05/17	OR4	H	2	OR4-H2	(6-05-17)	3.201	
2017-05	06/05/17	OR4	H	3	OR4-H3	(6-05-17)	2.052	
2017-05	06/05/17	OR4	NH	1	OR4-NH1	(6-05-17)	3.563	
2017-05	06/05/17	OR4	NH	2	OR4-NH2	(6-05-17)	8.220	
2017-05	06/05/17	OR4	NH	3	OR4-NH3	(6-05-17)	5.230	
2017-05	11/05/17	OR4	H	1	OR4-H1	(11-05-17)	10.450	
2017-05	11/05/17	OR4	H	2	OR4-H2	(11-05-17)	1.430	
2017-05	11/05/17	OR4	H	3	OR4-H3	(11-05-17)	2.400	
2017-05	14/05/17	OR4	H	1	OR4-H1	(14-05-17)	11.827	
2017-05	14/05/17	OR4	H	2	OR4-H2	(4-05-17)	1.254	
