Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-04	16/04/17	OR2	NH	1	OR2-NH1	(16-04-17)	20.709	
2017-04	16/04/17	OR2	NH	2	OR2-NH2	(16-04-17)	23.821	
2017-04	16/04/17	OR2	NH	3	OR2-NH3	(16-04-17)	22.513	
2017-04	18/04/17	OR2	H	1	OR2-H1	(18-04-17)	20.444	
2017-04	18/04/17	OR2	H	2	OR2-H2	(18-04-17)	18.839	
2017-04	18/04/17	OR2	H	3	OR2-H3	(18-04-17)	26.790	
2017-04	18/04/17	OR2	NH	1	OR2-NH1	(18-04-17)	21.849	
2017-04	18/04/17	OR2	NH	2	OR2-NH2	(18-04-17)	22.539	
2017-04	18/04/17	OR2	NH	3	OR2-NH3	(18-04-17)	22.421	
2017-04	23/04/17	OR2	H	1	OR2-H1	(23-04-17)	24.719	
2017-04	23/04/17	OR2	H	2	OR2-H2	(23-04-17)	17.910	
2017-04	23/04/17	OR2	H	3	OR2-H3	(23-04-17)	29.197	
2017-04	23/04/17	OR2	NH	1	OR2-NH1	(23-04-17)	23.542	
2017-04	23/04/17	OR2	NH	2	OR2-NH2	(23-04-17)	24.153	
2017-04	23/04/17	OR2	NH	3	OR2-NH3	(23-04-17)	24.324	
2017-04	29/04/17	OR2	H	1	OR2-H1	(29-04-17)	25.380	
2017-04	29/04/17	OR2	H	2	OR2-H2	(29-04-17)	17.748	
2017-04	29/04/17	OR2	H	3	OR2-H3	(29-04-17)	33.432	
2017-04	29/04/17	OR2	NH	1	OR2-NH1	(29-04-17)	26.648	
2017-04	29/04/17	OR2	NH	2	OR2-NH2	(29-04-17)	18.516	
2017-04	29/04/17	OR2	NH	3	OR2-NH3	(29-04-17)	29.191	
2017-05	06/05/17	OR2	H	1	OR2-H1	(6-05-17)	25.445	
2017-05	06/05/17	OR2	H	2	OR2-H2	(6-05-17)	14.882	
2017-05	06/05/17	OR2	H	3	OR2-H3	(6-0-17)	6.459	
2017-05	06/05/17	OR2	NH	1	OR2-NH1	(6-05-17)	28.927	
2017-05	06/05/17	OR2	NH	2	OR2-NH2	(6-05-17)	25.812	
2017-05	06/05/17	OR2	NH	3	OR2-NH3	(6-05-17)	5.832	
2017-05	11/05/17	OR2	H	1	OR2-H1	(11-05-17)	27.160	
2017-05	11/05/17	OR2	H	2	OR2-H2	(11-05-17)	17.739	
2017-05	11/05/17	OR2	H	3	OR2-H3	(11-05-17)	13.661	
2017-05	11/05/17	OR2	NH	1	OR2-NH1	(11-05-17)	33.468	
2017-05	11/05/17	OR2	NH	2	OR2-NH2	(11-05-17)	30.258	
2017-05	11/05/17	OR2	NH	3	OR2-NH3	(11-05-17)	9.173	
2017-05	14/05/17	OR2	H	1	OR2-H1	(14-05-17)	26.566	
2017-05	14/05/17	OR2	H	2	OR2-H2	(14-05-17)	11.337	
2017-05	14/05/17	OR2	H	3	OR2-H3	(14-05-17)	4.912	
2017-05	14/05/17	OR2	NH	1	OR2-NH1	(14-05-17)	32.370	
2017-05	14/05/17	OR2	NH	2	OR2-NH2	(14-05-17)	27.084	
2017-05	14/05/17	OR2	NH	3	OR2-NH3	(14-05-17)	4.598	
2017-05	21/05/17	OR2	H	1	OR2-H1	(21-05-17)	27.485	
2017-05	21/05/17	OR2	H	2	OR2-H2	(21-05-17)	8.640	
